Clase de coste,Denom.clase de coste,Denominación de la cuenta,RUBRO EBITDA,TIPO DE CUENTA
5110001,CO- CAFETERIA,BENEFICIOS AL PERSONAL,Costo Servicio,Costo de Servicios
5110002,CO- COMEDOR/REFRI,BENEFICIOS AL PERSONAL,Costo Servicio,Costo de Servicios
5110003,CO- CAPACITACION,BENEFICIOS AL PERSONAL,Costo Servicio,Costo de Servicios
5110004,CO- UNIFORMES,BENEFICIOS AL PERSONAL,Costo Servicio,Costo de Servicios
5110004,CO- UNIFORMES,BENEFICIOS AL PERSONAL,Gasto Comercialización,Costo de Servicios
5110005,CO- OTROS BENE PERS,BENEFICIOS AL PERSONAL,Costo Servicio,Costo de Servicios
6020001,GT- CAFETERIA,BENEFICIOS AL PERSONAL,Costo Servicio,GASTOS
6020002,GT- COMEDOR/REFRI,BENEFICIOS AL PERSONAL,Gasto Comercialización,GASTOS
6020002,GT- COMEDOR/REFRI,BENEFICIOS AL PERSONAL,Costo Servicio,GASTOS
6020003,GT- CAPACITACION,BENEFICIOS AL PERSONAL,Costo Servicio,GASTOS
6020003,GT- CAPACITACION,BENEFICIOS AL PERSONAL,Gasto Comercialización,GASTOS
6020004,GT- UNIFORMES,BENEFICIOS AL PERSONAL,Costo Servicio,GASTOS
6020005,GT- OTROS BENE PERS,BENEFICIOS AL PERSONAL,Costo Servicio,GASTOS
6020006,GT- BENEF CAP HUM,BENEFICIOS AL PERSONAL,Costo Servicio,GASTOS
6020007,GT- DIF OBRA SOCIAL,BENEFICIOS AL PERSONAL,Costo Servicio,GASTOS
6030001,GT- ASESORES EXT,"HONORARIOS, SERVICIOS CONTRATADOS",Costo Servicio,GASTOS
6030002,GT- HONORARIOS PROF,"HONORARIOS, SERVICIOS CONTRATADOS",Costo Servicio,GASTOS
6030002,GT- HONORARIOS PROF,"HONORARIOS, SERVICIOS CONTRATADOS",Gasto Comercialización,GASTOS
6030003,GT - HONOR LEGALES,"HONORARIOS, SERVICIOS CONTRATADOS",Costo Servicio,GASTOS
6030004,GT- INVEST MERCADO,"HONORARIOS, SERVICIOS CONTRATADOS",Costo Servicio,GASTOS
6030005,GT- OTROS HONORARIOS,"HONORARIOS, SERVICIOS CONTRATADOS",Costo Servicio,GASTOS
6030007,GT- PREING LABORALES,"HONORARIOS, SERVICIOS CONTRATADOS",Costo Servicio,GASTOS
6030008,GT- SERV MENSAJERIA,"HONORARIOS, SERVICIOS CONTRATADOS",Costo Servicio,GASTOS
6030009,GT- FRANQUEO Y TELEG,"HONORARIOS, SERVICIOS CONTRATADOS",Costo Servicio,GASTOS
6030010,GT- OTROS SERV CONTR,"HONORARIOS, SERVICIOS CONTRATADOS",Costo Servicio,GASTOS
6030010,GT- OTROS SERV CONTR,"HONORARIOS, SERVICIOS CONTRATADOS",Gasto Comercialización,GASTOS
6030011,GT- SERVICIOS CLOUD,"HONORARIOS, SERVICIOS CONTRATADOS",Costo Servicio,GASTOS
6030012,GT- BUSQ PERSONAL,"HONORARIOS, SERVICIOS CONTRATADOS",Costo Servicio,GASTOS
6040001,GT- DEP RODADOS,GASTOS DE RODADOS Y EQUIPOS,Costo Servicio,GASTOS
6040002,GT- PATENTE Y MULTAS,GASTOS DE RODADOS Y EQUIPOS,Costo Servicio,GASTOS
6040003,GT- SEGUROS RODADOS,GASTOS DE RODADOS Y EQUIPOS,Costo Servicio,GASTOS
6040004,GT- SERVICE RODADOS,GASTOS DE RODADOS Y EQUIPOS,Costo Servicio,GASTOS
6051001,GT- ALQ EDIFICIOS,ALQUILERES,Costo Servicio,GASTOS
6051002,GT- ALQ EXPENSAS,ALQUILERES,Costo Servicio,GASTOS
6051004,GT- OTROS ALQUILERES,ALQUILERES,Gasto Comercialización,GASTOS
6051004,GT- ALQ EDIFICIOS,ALQUILERES,Costo Servicio,GASTOS
6051004,GT- OTROS ALQUILERES,ALQUILERES,Costo Servicio,GASTOS
6052001,GT- MANT EDIFICIOS,MANTENIMIENTO,Costo Servicio,GASTOS
6052002,GT- MANT EQUIPOS,MANTENIMIENTO,Costo Servicio,GASTOS
6052003,GT- MANT M Y U,MANTENIMIENTO,Gasto de Estructura y Soporte,GASTOS
6052003,GT- MANT M Y U,MANTENIMIENTO,Costo Servicio,GASTOS
